ID,Text,Comment
Bonus.Source,{0} kapott:,{0} stands for Bonus name. Header above a list of needs that give this bonus.
Bonus.WorkingSpeed,Munkasebesség,Speed at which the beavers work.
Bot.BeaversPerished,"A hódok? Inkább hagyjuk.
Egykor mindenük megvolt: friss levegő, kristálytiszta víz.
Ma már csak árnyak az idő peremén.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} elkészült!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(megsemmisült),Preceded by bot name and age
Bot.DeathMessage,{0} lerobbant.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,{0}.sz. fa robot,{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,{0}.sz. vas robot,{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Tartósság,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Robotok,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.PrefabName,Robot,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"A szállítók, a munkanélküliek, és a munkások (munka után) hozzák a tápanyagokat.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Szükséges tápanyagok:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Inkubációs folyamat,Label inside a progress bar describing production progress of new beaver in breeding facility
BugTracker.Prompt,Az online hibajelentő oldalra leszel átirányítva: {0}.,An OK/Cancel prompt before opening a web browser. {0} stands for url to bug tracker.
BuilderPriorityTool.Description,"Használd ezt az eszközt az építési, bontási, valamint a törmelékek begyűjtési prioritásának beállításához.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,"Kattints egy elemre a prioritás beállításához, vagy tartsd lenyomva a gombot egy nagyobb terület kiválasztásához.",
Building.Agora.Description,"Egy nagy gyülekezőhely, ahol a hódok komoly fakérdéseket vitathatnak meg.",
Building.Agora.DisplayName,Agóra,
Building.Agora.FlavorDescription,"""A hódoknak joguk van a szabad véleménynyilvánításhoz!"" — Kazkó bá",Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AdvancedBreedingPod.Description,"Fejlett inkubációs folyamatot alkalmaz felnőtt hódok előállításához, akik azonnal nekivágnak a munkának.",Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,Fejlett inkubátor,
Building.AdvancedBreedingPod.FlavorDescription,"A legenda szerint egy hódkölyök beleesett egy kivonatos tartályba, és másnap már három fát rágott át.","Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.AquaticFarmhouse.Description,"<YellowHighlight>Vízi</YellowHighlight> növények termesztésére szakosodott gazdákat alkalmaz.","Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Vízi földművesház,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,"""Halat enni?! Dejszen mi hódok volnánk, nem vidrák!"" — Nóra nagyi","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.BadwaterDischarge.Description,"Lezár egy Rosszvízforrást. Igény szerint nyitható és zárható. Nyitott állapotban szárazság idején is fenntartja a rosszvíz áramlását.","Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.DisplayName,Rosszvízkifolyó,"Name of the building that can either stop flow of badwater or enforce flow with full power. It's a dome shaped, mechanical building that opens and closes like a camera shutter. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.FlavorDescription,Belépés csak RCE minősítéssel rendelkező mérnökök részére. A YouTube-komment nem számít referenciának.,"This is a reference to a youtuber called Real Civil Engineer."
Building.BadwaterDome.Description,Lezár egy Rosszvízforrást. Igény szerint nyitható és zárható.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDome.DisplayName,Rosszvízkupola,"Name of the building that stops flow of badwater when put on its source. It's a dome shaped mechanical building that can open and close by raising the cover up and down. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDome.FlavorDescription,"Nincs rosszvíz, nincs sírás.","This is a reference to a Bob Marley song ""No woman, no cry""."
Building.BadwaterPump.Description,"Rosszvíz felszívására képes, megerősített szivattyú. Alacsony szennyezettség mellett lassabb.",Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.BadwaterPump.DisplayName,Rosszvízszivattyú,Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterPump.FlavorDescription,"""Az extra védelem jó meg minden, de orrcsipesz is jöhetett volna mellé."" — Zsömi","Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible."
Building.BadwaterRig.Description,Lezár egy Rosszvízforrást. Dolgozók termelik ki a rosszvizet közvetlenül a forrásból.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterRig.DisplayName,Rosszvízkitermelő,"Name of the building that stops flow from badwater source and generates Good.Badwater.DisplayName goods (by extracting them from source). It's a mechanical building that needs workers to operate. Badwater must be the same as Good.Badwater.DisplayName"
Building.BadwaterRig.FlavorDescription,"A rosszvíz bugyog, a dolgozók feszülnek – nagy a nyomás minden irányból.","Play on words with pressure referring to both water pressure and stress. If possible try to adapt the phrase to fit your language."
Building.BadwaterSource.DisplayName,Rosszvízforrás,A crack or spring in the ground spuming badwater. Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterSource.FlavorDescription,"""Miért nekünk kell eltakarítani az embörök mocskát? Ja, igen, mert mind halottak."" — Tobzi",
Building.ContaminationBarrier.Description,Megálljt parancsol a talajszennyeződés terjedésének.,Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.ContaminationBarrier.DisplayName,Szennyezészár,"Name of the building that stops spreading soil contamination that's placed on the ground and is presented as square shape with objects sticking out. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project. Barrier should be the same between Building.IrrigationBarrier.DisplayName and Building.ContaminationBarrier.DisplayName."
Building.ContaminationBarrier.FlavorDescription,"""Szennyezés ellen zár, így lesz termő a határ!"" — motivációs plakát","Reference to the ""An apple a day, keeps the doctor away"" proverb. If possible try to adapt the phrase to fit your language."
Building.Bakery.Description,Kenyeret és péksüteményeket süt különböző lisztekből.,Pastry being a baked good.
Building.Bakery.DisplayName,Pékség,Building that bakes bread
Building.Bakery.FlavorDescription,"""Nincs is jobb, mint egy forró, faforgáccsal szórt zsemle!"" — Nóra nagyi","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Barrack.Description,"Praktikus, közös szállás.",
Building.Barrack.DisplayName,Laktanya,Barracks are cramped homes for beavers. Not related to soldiers.
Building.Barrack.FlavorDescription,"""Két Virágvölgyi belép egy laktanyába."" — Vasfogak vicc","Reference to 'walk into a bar' jokes; only Iron Teeth use Barracks, as Folktails prefer different lodges and are less work-focused than Iron Teeth"
Building.BeaverBust.Description,Egy fontosnak látszó hód mellszobra.,
Building.BeaverBust.DisplayName,Hód mellszobor,
Building.BeaverBust.FlavorDescription,"A csínytevő hódkölykök előszeretettel ""díszítik"" Kazkó bá szobrát.","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization. Kits are young beavers."
Building.BeaverStatue.Description.Folktails,Egy jól táplált hód szobra.,
Building.BeaverStatue.Description.IronTeeth,Egy keményen dolgozó hód szobra.,
Building.BeaverStatue.DisplayName,Hód szobor,Statue of a beaver
Building.BeaverStatue.FlavorDescription.Folktails,"Látványától büszkeség tölt el a jó években, és éhség a rosszakban.","The statue shows a beaver with a full belly so it can make one hungry when looking at it."
Building.BeaverStatue.FlavorDescription.IronTeeth,"A sarlót levették, mert túl virágvölgyinek ítélték.","This metal statue depicts a beaver worker with a raised hammer. Hammer and sickle is an emblem of Soviet Russia. Folktails must be same as faction name (Faction.Folktails.DisplayName)."
Building.Beehive.Description,Fokozza a közeli növények növekedését.,
Building.Beehive.DisplayName,Méhkas,
Building.Beehive.FlavorDescription,"""Idővel megszokja a hód zümmögést."" — Nóra nagyi","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Bell.Description,"Hangjával jelzi a munkanap kezdetét és végét.","This is a large metal bell that rings twice a day."
Building.Bell.DisplayName,Harang,"A large metal bell"
Building.Bell.FlavorDescription,"""A nap legjobb része a reggeli harangszó!"" — Kazkó bá","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.Bench.DisplayName,Pad,
Building.Bench.FlavorDescription,"Néha akad egy-egy rongáló, aki megeszi a közvagyont.",
Building.Blockage.Description,"Természetes akadály, mely elállja a víz útját. Elbontható.",Demolished meaning removed by a worker.
Building.Blockage.DisplayName,Hordalékkupac,"Not a dam since that's another building in game but if not possible it could be called a Natural Dam. Visually, it's a block made out of twigs and loose stones."
Building.Blockage.FlavorDescription,"Nehéz elhinni, hogy volt idő, mikor a gát csak sárból meg gallyakból állt.",
Building.BotAssembler.Description,"Autonóm robotokat szerel össze, akik segíthetnek a hódoknak mindennapi feladataikban.",Bots should be the same as Bot.PluralDisplayName
Building.BotAssembler.DisplayName,Robotösszeszerelő,A factory for assembling bots. Bot should be the same as Bot.PrefabName
Building.BotAssembler.FlavorDescription,"""Az egész onnan indult, hogy ‘mi lenne, ha ma nem dolgoznék?’"" — Tobzi",
Building.BotPartFactory.Description,Robotalkatrészeket állít elő.,Bot should be the same as Bot.PrefabName
Building.BotPartFactory.DisplayName,Robotalkatrész gyár,"A factory for creating bot parts, that are later assembled into full bots. Bot should be the same as Bot.PrefabName."
Building.BotPartFactory.FlavorDescription,"""Kész! De mit keres itt ez a csavar?"" — Tobzi",
Building.Brazier.Description,Tűz díszes dobozban.,
Building.Brazier.DisplayName,Parázstartó,
Building.Brazier.FlavorDescription,"""Ez most komolyan lángol. Meg a hangulat is."" — Zsömi","Play on words with lit meaning both lit up and cool. If possible try to adapt the phrase to fit your language. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible."
Building.BrazierOfBonding.DisplayName,Az összetartozás parázstartója,A large brazier surrounded by statues of a beaver family
Building.BrazierOfBonding.FlavorDescription,"""Ha nem miértünk, akkor a jövő nemzedékeiért."" — Nóra nagyi","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.BreedingPod.Description,"A Vasfogak szaporodásának legnépszerűbb (és egyben egyetlen) módja.",Iron Teeth must be the same as the faction name (Faction.IronTeeth.DisplayName).
Building.BreedingPod.DisplayName,Inkubátor,
Building.BreedingPod.FlavorDescription,"""A kölykök jelentik a jövőt. Tizenkettőt kérek jövő hónapra!"" — Kazkó bá","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.BuildersHut.Description,További építőket alkalmaz.,
Building.BuildersHut.DisplayName,Építők kunyhója,
Building.BuildersHut.FlavorDescription,Hódvára sem egy nap alatt épült. A legenda szerint hat óra elég volt.,Beaverome is a mythical beaver city built by beavers of many different factions who banded together to work on timber-tech for the greater good of all beavers.
Building.BulletinPole.Description,Díszes oszlop közösségi üzenetekhez.,
Building.BulletinPole.DisplayName,Hirdetőoszlop,
Building.BulletinPole.FlavorDescription,"""Feldöntött a vízkerék? Megcsúsztál a fűrészporon? Járhat a kárpótlás! Zsömi segít (vagy nem)!""","Reference to common compensation scam text. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible."
Building.Campfire.Description,"A hódok itt esténként pihenhetnek és társasági életet élhetnek.",
Building.Campfire.DisplayName,Tábortűz,
Building.Campfire.FlavorDescription,Néha a tűz és a fa jó párost alkotnak.,
Building.Carousel.Description,"Fa körhinta, hódok minden korosztálya számára.",
Building.Carousel.DisplayName,Körhinta,Alternative name: Merry-Go-Round
Building.Carousel.FlavorDescription,"""Mit gondolsz, hova mész, kölyök? Ezek a ágak nem fogják lehántolni magukat!"" — Nóra nagyi","Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Centrifuge.Description,"Masszív gépezet, amely a veszélyes rosszvizet használható kivonattá alakítja.",Badwater should be the same as Good.Badwater.DisplayName. Extract should be the same as Good.Extract.DisplayName.
Building.Centrifuge.DisplayName,Centrifuga,
Building.Centrifuge.FlavorDescription,"Az első centrifuga akkor született, amikor egy virágvölgyi körhinta túlpörgött.","Folktails must be the same as Faction.Folktails.DisplayName, carousel should be the same as Building.Carousel.DisplayName."
Building.ChargingStation.Description,Robotok feltöltésére szolgál.,Bots should be the same as Bot.PluralDisplayName
Building.ChargingStation.DisplayName,Töltőállomás,A mechanically powered building where bots come to recharge
Building.ChargingStation.FlavorDescription,Csak vasfog eszközökkel kompatibilis.,"Referring the annoying ""a different connector for each device"" trend in IT. Ironbot must be the same as Bot.DisplayName.IronTeeth"
Building.Clock.Description,Egy díszes óra.,
Building.Clock.DisplayName,Óra,
Building.Clock.FlavorDescription,"Ki hinné, hogy hajdanán a hódok klepszüdrával mérték az időt?","Clepsydra is an ancient water clock."
Building.CoffeeBrewery.Description,Kávét főz.,Coffee should be the same as in Good.Coffee.DisplayName.
Building.CoffeeBrewery.DisplayName,Kávéfőző,A building that brews coffee.
Building.CoffeeBrewery.FlavorDescription,"Ha nem lennének fogyasztási korlátozások, a Vasfogak egyáltalán nem aludnának.",
Building.ContemplationSpot.Description,"Egy kis zug, ahol a hódok elmerülhetnek a természeten való elmélkedésben.",
Building.ContemplationSpot.DisplayName,Elmélkedőhely,
Building.ContemplationSpot.FlavorDescription,"Itt a hódok azon töprengenek, hogyan élhetnek együtt a természet szeszélyeivel.","A play on words with ""nature's whims"" referring to both nature and the beavers' nature. If possible try to adapt the phrase to fit your language."
Building.CompactWaterWheel.Description,"Kompakt generátor, amely a víz áramlását energiává alakítja.",
Building.CompactWaterWheel.DisplayName,Kompakt vízkerék,A water wheel that's smaller than other versions.
Building.CompactWaterWheel.FlavorDescription,"Miért ne találnánk fel újra a vízkereket?","A play on 'can't reinvent the wheel'"
Building.ControlTower.Description,"Magas építmény, amely jelet sugároz a közeli robotoknak, növelve azok teljesítményét.",Bots should be the same as Bot.PluralDisplayName
Building.ControlTower.DisplayName,Irányítótorony,A building that emits a signal to nearby bots
Building.ControlTower.FlavorDescription,"A robot köteles engedelmeskedni a hód parancsainak – kivéve, ha a hódok már nem léteznek.","A loose adaptation of Asimov's second law of robotics (and a hint at the ""sentient AI"" scenario). Bot must be the same as Bot.PrefabName."
Building.Dam.Description,"Visszatartja a vizet, de a tetején lévő túlfolyón keresztül egy részét átengedi.",Spillway is a hole near the top that allows for the water to pass.
Building.Dam.DisplayName,Gát,
Building.Dam.FlavorDescription,"Mint tudjuk, a civilizáció alapjai a víz alatt épülnek.",
Building.DanceHall.Description,"Csak egy kis nyitott tér kell, és indulhat az ereszd-el-a-farkamat.",
Building.DanceHall.DisplayName,Táncterem,
Building.DanceHall.FlavorDescription,"""Ne állj ott, mint egy Vasfog a szabadnapján – gyere táncolni!"" — Zsömi",Iron Teeth must be the same as Faction.IronTeeth.DisplayName. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.DecontaminationPod.Description,"Egy gépesített fürdő, amely kivonat használatával megtisztítja a szennyezett hódokat.",Badwater should be the same as Good.Badwater.DisplayName.
Building.DecontaminationPod.DisplayName,Tisztítófürdő,Ideally the name of the building should refer to the contamination effect on the beaver (Need.BadwaterContamination).
Building.DecontaminationPod.FlavorDescription,"""Nem, Zsömi, nem ihatsz kivonatot. Beleestél a tartályba még kölyökkorodban!"" — Nóra nagyi","Reference to Obelix from Asterix and Obelix falling into a cauldron. Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.DeepBadwaterPump.DisplayName,Mély Rosszvízszivattyú,"Badwater Pump Must be the same as Building.BadwaterPump.DisplayName, Deep should be the same as in Building.DeepWaterPump.DisplayName"
Building.DeepBadwaterPump.FlavorDescription,"A hosszabb cső egyszerre kezeli a szintkülönbséget és a szagot.",
Building.DeepMechanicalFluidPump.DisplayName,Mély Mechanikus Folyadékszivattyú,
Building.DeepWaterPump.Description,Ivóvizet szivattyúz és szűr a hódok számára. A rosszvízszennyezés csökkenti a hatékonyságát.,
Building.DeepWaterPump.DisplayName,Mély Vízszivattyú,A water pump which can access deeper water than a regular pump.
Building.DeepWaterPump.FlavorDescription,"""Lenn a mélyben nádas zúg, víz fakad,
A hód pumpálja, fárad, de nem szakad.""
 — Vasfog munkás dal","Iron Teeth is a faction name, keep consistent (Faction.IronTeeth.DisplayName)"
Building.Detailer.Browse,Tallózás...,Label of a button that opens a file explorer with a directory with custom patterns. Please keep short.
Building.Detailer.Description,Egyedi mintákat fest a hódok farkára.,This building allows the player to paint beavers' tails.
Building.Detailer.DisplayName,Farokdíszítő,Detailer references that the tail customisations are details/decorations.
Building.Detailer.Folktails.FlavorDescription,Meséljen a farkad — minden minta egy történet!,"Only Folktails have ads, so they can also have magazines. ""Weird Tales"" is a famous pulp magazine."
Building.Detailer.IronTeeth.FlavorDescription,"""Fáj? Lehet. Menő? Abszolút."" — Zsömi","Wordplay, as the IT variant looks painful to use."
Building.Detailer.Refresh,Frissítés,Label of a button that refreshes/reloads custom patterns from disk. Please keep short.
Building.Detailer.UserPatterns,Saját minták,Header of the panel that allows managing custom user patterns (loading custom images). Please keep short.
Building.DirtExcavator.Description,"Nehézgépes bányaberendezés föld kitermelésére. A maximális mélység elérése után is tovább működik.","Dirt must the same as Good.Dirt.DisplayName."
Building.DirtExcavator.DisplayName,Földkitermelő,"A machine used to gather dirt, leaving a giant hole. Dirt must be the same as Good.Dirt.DisplayName."
Building.DirtExcavator.FlavorDescription,"Nincs hegy túl magas, nincs völgy túl mély – csak megmunkálandó föld",
Building.DistrictCenter.Description,"Létrehoz egy kerületet saját lakossággal, erőforrásokkal és elszigetelt úthálózattal. Építőket alkalmaz. ",
Building.DistrictCenter.DisplayName,Kerületközpont,
Building.DistrictCenter.FlavorDescription.Folktails,"""Kényelem, élelem és kemény fa."" — a Virágvölgyiek jelmondata",The motto must be the same as in Faction.Folktails.Description
Building.DistrictCenter.FlavorDescription.IronTeeth,"""Dolgozz keményen, dolgozz keményen!""— A Vasfogak jelszava",The motto must be the same as in Faction.IronTeeth.Description
Building.DistrictCrossing.Description,Árukat oszt el a két összekötött kerület között. Mindkét oldalon külön munkások hordják-viszik az árukat a Kerülethatár és a kerület többi része között.,Districts should be the same as in Building.DistrictCenter.DisplayName
Building.DistrictCrossing.DisplayName,Kerülethatár,District should be the same as in Building.DistrictCenter.DisplayName
Building.DistrictCrossing.FlavorDescription,Miért ment át a hód a kerület határán?,"Referencing ""Why did a chicken cross a road"" jokes"
Building.DoubleDynamite.DisplayName,Dupla dinamit,Dynamite that makes 2 blocks deep hole
Building.DoubleFloodgate.DisplayName,Dupla zsilip,
Building.DoubleFloodgate.FlavorDescription,Hogyan lehet tökéletesíteni a tökéleteset? Meg kell magasítani.,
Building.DoubleLodge.Description,"Több hódot befogadni képes, nagyobb kunyhó.",
Building.DoubleLodge.DisplayName,Dupla kunyhó,This lodge fits twice as many beavers
Building.DoubleLodge.FlavorDescription,"Sok jó hód kis helyen is elfér.","This lodge fits twice as many beavers as a standard one"
Building.DoublePlatform.DisplayName,Dupla állvány,Double meaning twice as tall.
Building.DoublePlatform.FlavorDescription,"Kétszer olyan magas, ugyanolyan erős.",
Building.DoubleShower.DisplayName,Dupla zuhany,A version of Building.Shower.DisplayName that can be used by two beavers at the same time
Building.DoubleShower.FlavorDescription,"""Tegnap jobban bejött a zuhanypartnerem."" — Tobzi",
Building.Dynamite.Armed,Élesítve!,Dynamite is set to detonate
Building.Dynamite.BeaverDeathMessage,{0} robbanásban életét vesztette.,{0} stands for beaver name
Building.Dynamite.CantDetonate,"Nem lehet felrobbantani, túl mélyen van.",Message shows if dynamite is built on the lowest level of the map
Building.Dynamite.Description,"Felrobbantja az alatta lévő földet, és berobbantja a szomszédos dinamitokat.",Triggers can be changed to detonates
Building.Dynamite.Detonate,Élesít,A button.
Building.Dynamite.DisplayName,Dinamit,There's a resource called Explosives so they need to have different names
Building.Dynamite.ExplosionDepth,Robbanásmélység: {0},"Explains how deep the dynamite explosion is, {0} stands for the vertical number of blocks"
Building.Dynamite.FlavorDescription,"Az új világ formálásához néha előbb le kell rombolni a régit.",
Building.EfficientFarmhouse.Description,"Földműveseket alkalmaz, akik ültetnek és aratnak. Az új, kibővített Virágvölgyi dizájn több munkást képes foglalkoztatni.",Farmhouse should be the same as in Building.Farmhouse.DisplayName
Building.EfficientFarmhouse.DisplayName,Hatékony Földművesház,Farmhouse should be the same as in Building.Farmhouse.DisplayName
Building.EfficientFarmhouse.FlavorDescription,"A hatékonyság nagyban függ attól, hogy a hódok esznek-e munkaidőben.","A play on words with ""efficiency depends on beavers eating during work time""."
Building.EfficientMine.Description,"Bányászokat alkalmaz, akik hulladékvasat termelnek ki a föld alatti romokból. Innovatív kialakítása maximalizálja a bányászat hatékonyságát.",
Building.EfficientMine.DisplayName,Hatékony bánya,An extracting facility which can be placed on underground ruins.
Building.EfficientMine.FlavorDescription,A Vasfogúak elszántan kutatják az elfeledett mélységeket. Számukra minden rom értékes nyersanyagforrás.,"Reference to the ""upper hand"" phrase. The mine is built on top of underground human ruins."
Building.Engine.Description,"Fát éget, hogy kinetikus energiát termeljen.",
Building.Engine.DisplayName,Motor,Not a steam engine;it might show up later as a different building
Building.Engine.FlavorDescription,"A fa másoknak szent – nekünk tüzelőanyag. A Motor nemcsak hajt, hanem utat mutat a haladásnak. A természet szolgál, nem uralkodik.","Iron Teeth is one of the playable factions, with the Engine being one of their unique buildings."
Building.EarthRecultivator.Folktails.Description,"Famagokat szór szét a Földön. Indításkor boldogabbá teszi a közeli hódokat.",
Building.EarthRecultivator.Folktails.DisplayName,Földújjáélesztő,
Building.EarthRecultivator.Folktails.FlavorDescription,"Minden elvetett maggal új remény születik.",
Building.EarthRepopulator.IronTeeth.Description,"Úttörőket indít távoli vidékekre. Indításkor boldogabbá teszi a közeli hódokat.",
